node_id,timestamp,x,y
1,2020-06-26 11:50:09.645,1483,-129
1,2020-06-26 11:50:19.645,1473,-129
1,2020-06-26 11:50:28.645,1478,-121
1,2020-06-26 11:50:38.645,1483,-121
1,2020-06-26 11:50:48.645,1470,-134
1,2020-06-26 11:50:58.645,1474,-115
1,2020-06-26 11:51:07.645,1470,-125
1,2020-06-26 11:51:17.645,1470,-127
1,2020-06-26 11:51:27.645,1482,-124
1,2020-06-26 11:51:36.645,1472,-118
1,2020-06-26 11:51:46.645,1480,-123
1,2020-06-26 11:51:55.645,1468,-122
1,2020-06-26 11:52:05.645,1478,-118
1,2020-06-26 11:52:15.645,1475,-130
1,2020-06-26 11:52:24.645,1476,-121
1,2020-06-26 11:52:34.645,1475,-118
1,2020-06-26 11:52:53.645,1470,-127
1,2020-06-26 11:53:02.645,1487,-129
1,2020-06-26 11:53:12.645,1477,-98
1,2020-06-26 11:53:41.645,1463,-113
1,2020-06-26 11:53:51.645,1456,-117
1,2020-06-26 11:54:00.645,1500,-231
1,2020-06-26 11:54:10.645,1484,-180
1,2020-06-26 11:54:29.645,1485,-182
1,2020-06-26 11:54:48.645,1463,-129
1,2020-06-26 11:54:58.645,1467,-129
1,2020-06-26 11:55:08.645,1465,-115
1,2020-06-26 11:55:17.645,1483,-130
1,2020-06-26 11:55:27.645,1474,-118
1,2020-06-26 11:55:36.645,1466,-119
1,2020-06-26 11:55:46.645,1468,-120
1,2020-06-26 11:56:05.645,1465,-175
1,2020-06-26 11:56:24.645,1486,-121
1,2020-06-26 11:56:30.645,1513,-50
1,2020-06-26 11:56:31.645,1470,-141
1,2020-06-26 11:56:32.645,1596,4
1,2020-06-26 11:56:33.645,1451,-144
1,2020-06-26 11:56:34.645,1455,-129
1,2020-06-26 11:56:44.645,1470,-129
1,2020-06-26 11:56:54.645,1478,-135
1,2020-06-26 11:57:04.645,1433,-115
